Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1993:Q3,TopPt1,2467299,2489898,267067,134333,661739,29287,15290,636462,745720,22599,11412,239,10948
1993:Q3,RemainingTop1,3698289,3844702,607197,171512,1020002,179389,147778,845042,873782,146413,104305,10881,31227
1993:Q3,Next9,8987163,9683445,2148899,469889,1268574,2089815,702135,1036043,1968090,696283,569613,64738,61932
1993:Q3,Next40,9014592,10787656,3742489,971328,625289,2340200,646549,582332,1879469,1773065,1406021,307171,59873
1993:Q3,Bottom50,938442,2313033,1130368,519004,55293,148039,94448,50528,315353,1374591,867181,459638,47772
1993:Q4,TopPt1,2580428,2604119,264005,143793,701952,26677,15916,649743,802033,23691,11889,524,11278
1993:Q4,RemainingTop1,3809863,3959947,611772,172154,1091317,170313,151936,871224,891232,150084,107718,11108,31258
1993:Q4,Next9,9093173,9791122,2167614,472285,1319139,2141885,709065,1032498,1948635,697949,568286,68355,61308
1993:Q4,Next40,9123842,10926955,3807667,980773,639587,2367726,657972,584054,1889176,1803114,1417071,323967,62076
1993:Q4,Bottom50,935235,2365910,1155684,533243,57826,148484,99976,51617,319080,1430675,894712,482214,53749
1994:Q1,TopPt1,2642915,2666884,258331,164375,656314,24073,16386,670488,876917,23969,12174,171,11624
1994:Q1,RemainingTop1,3842580,3996189,624465,170412,1067608,161325,154764,901263,916352,153610,112149,10490,30971
1994:Q1,Next9,9121512,9806149,2212503,460330,1245702,2195211,710128,1034804,1947471,684637,561038,64815,58784
1994:Q1,Next40,9187096,10992799,3850225,984976,617121,2396179,663084,587218,1893997,1805703,1423005,319392,63306
1994:Q1,Bottom50,898954,2367863,1136845,546065,56145,148968,104650,52623,322567,1468909,921588,489009,58312
1994:Q2,TopPt1,2704530,2729659,253517,173142,632926,21489,17322,695772,935490,25128,12773,353,12002
1994:Q2,RemainingTop1,3889734,4046010,630334,171140,1067260,152117,159711,933549,931899,156277,114983,10512,30782
1994:Q2,Next9,9135610,9821636,2231514,462633,1203622,2247242,716435,1040187,1920003,686026,562516,67051,56459
1994:Q2,Next40,9264749,11097955,3922232,993517,603798,2423649,677983,591053,1885723,1833205,1436081,332284,64840
1994:Q2,Bottom50,885121,2405453,1152865,559182,55509,149411,110660,53574,324252,1520332,948764,508381,63187
1994:Q3,TopPt1,2782106,2808289,248350,172984,646843,18891,18339,714904,987978,26184,13339,614,12231
1994:Q3,RemainingTop1,3967960,4126974,625211,173635,1107755,143118,166206,962762,948287,159014,118184,10662,30168
1994:Q3,Next9,9199176,9885636,2216301,474578,1214764,2301554,733762,1038669,1906009,686460,563137,70268,53055
1994:Q3,Next40,9386150,11249014,3998334,1003786,606427,2452768,701170,593010,1893520,1862864,1449365,348090,65409
1994:Q3,Bottom50,910631,2485485,1205445,571531,56693,149924,117516,54627,329749,1574853,977518,530319,67016
1994:Q4,TopPt1,2877533,2905477,243628,178124,634169,16317,18746,734257,1080235,27944,13977,1178,12789
1994:Q4,RemainingTop1,4031544,4194307,623416,174874,1117804,133619,166992,992106,985496,162762,120846,11148,30768
1994:Q4,Next9,9203624,9898997,2213384,478744,1187190,2352335,722065,1036204,1909075,695372,565108,76620,53644
1994:Q4,Next40,9417700,11322691,4032642,1010072,597368,2479186,696216,594625,1912583,1904991,1462506,373308,69177
1994:Q4,Bottom50,912048,2549596,1248727,582323,56534,150324,120895,55694,335100,1637548,1004005,558914,74629
1995:Q1,TopPt1,2980508,3008821,237438,187203,687720,13675,20010,749550,1113226,28314,14382,914,13018
1995:Q1,RemainingTop1,4148531,4313648,623753,175734,1201655,125075,175405,1019578,992448,165117,124532,10571,30014
1995:Q1,Next9,9346376,10028634,2215433,481809,1253962,2411539,749440,1028826,1887625,682258,559130,73874,49254
1995:Q1,Next40,9549164,11457337,4061949,1020197,616725,2511794,729012,594928,1922732,1908173,1467250,371504,69419
1995:Q1,Bottom50,937541,2610256,1276630,595754,59644,150986,128877,56847,341518,1672715,1027142,567684,77889
1995:Q2,TopPt1,3080944,3110221,231841,180103,747716,13121,21013,766977,1149450,29277,14769,1085,13423
1995:Q2,RemainingTop1,4288044,4458062,613130,179077,1291914,139311,183821,1048149,1002659,170017,129392,10715,29910
1995:Q2,Next9,9418020,10095660,2175174,496661,1328710,2409408,784867,1022284,1878556,677640,554425,76486,46729
1995:Q2,Next40,9739825,11675600,4133338,1025133,638269,2585752,763287,595350,1934470,1935775,1479009,385354,71412
1995:Q2,Bottom50,985568,2719366,1354824,603358,63029,154451,136717,57989,348998,1733798,1061242,589487,83069
1995:Q3,TopPt1,3221850,3252659,222558,178847,823189,12570,22493,792008,1200994,30810,15388,1420,14002
1995:Q3,RemainingTop1,4442192,4616577,591657,181255,1398364,153511,193973,1080213,1017603,174385,132785,10933,30667
1995:Q3,Next9,9453074,10136760,2105238,505108,1423926,2403730,821802,1021607,1855349,683686,555686,80418,47582
1995:Q3,Next40,9791490,11764689,4073408,1028728,665624,2658669,804734,597077,1936449,1973199,1494061,403376,75762
1995:Q3,Bottom50,1016349,2813400,1420276,611085,67116,157869,145771,59018,352265,1797051,1092418,613452,91181
1995:Q4,TopPt1,3324802,3359066,225663,177908,903661,13793,24264,796604,1217173,34264,15958,2100,16206
1995:Q4,RemainingTop1,4561582,4742423,607153,181757,1468596,162063,205780,1077265,1039809,180841,136801,11858,32182
1995:Q4,Next9,9721034,10425971,2139183,512216,1548705,2449647,841404,1049848,1884968,704937,563406,90788,50743
1995:Q4,Next40,9979412,11997922,4106256,1044073,723941,2679597,845281,611005,1987768,2018509,1514719,426531,77259
1995:Q4,Bottom50,1012561,2826468,1410993,613352,73169,161259,149840,61799,356056,1813907,1089624,636884,87399
1996:Q1,TopPt1,3367810,3404383,228719,180895,940885,15067,26037,795031,1217748,36572,16652,1812,18108
1996:Q1,RemainingTop1,4631226,4817753,626423,181884,1491043,170305,217389,1071421,1059289,186527,141224,11633,33670
1996:Q1,Next9,9937553,10665882,2185954,518231,1611903,2492945,859685,1072184,1924980,728329,576787,90855,60687
1996:Q1,Next40,10184123,12228379,4157940,1063125,763969,2698260,885172,623488,2036426,2044256,1546191,419475,78590
1996:Q1,Bottom50,1007049,2830658,1391626,618309,77083,164579,153617,64691,360753,1823609,1098005,638432,87172
1996:Q2,TopPt1,3412591,3452866,230978,173165,986332,16371,27536,797879,1220604,40275,17585,2184,20506
1996:Q2,RemainingTop1,4704203,4895188,637258,183295,1522354,178534,226719,1067500,1079528,190984,143548,12046,35390
1996:Q2,Next9,10098958,10857277,2206116,529558,1685855,2536046,866819,1098382,1934501,758319,595528,97395,65396
1996:Q2,Next40,10354074,12444369,4229679,1075231,807005,2716459,914002,636874,2065118,2090295,1577462,431871,80962
1996:Q2,Bottom50,1013373,2848921,1396777,617566,81353,167905,155849,67501,361970,1835548,1098084,653083,84381
1996:Q3,TopPt1,3405635,3449445,236830,169403,984958,17711,29318,798391,1212834,43810,18559,2541,22710
1996:Q3,RemainingTop1,4726721,4921415,651825,184366,1502973,186687,237350,1062537,1095677,194694,145752,12434,36508
1996:Q3,Next9,10225115,11013884,2239580,540027,1693918,2578368,876920,1122404,1962668,788769,615496,103737,69536
1996:Q3,Next40,10486497,12622170,4275077,1091558,829873,2733784,948928,649729,2093222,2135673,1610277,443757,81639
1996:Q3,Bottom50,1026183,2873237,1404781,619822,83289,171220,158777,70354,364994,1847054,1099279,667378,80397
1996:Q4,TopPt1,3511597,3558460,243979,177366,1042615,19153,34032,817124,1224191,46862,19379,3021,24462
1996:Q4,RemainingTop1,4832538,5031674,674013,183191,1547624,193706,260375,1065873,1106892,199136,148847,13047,37242
1996:Q4,Next9,10509415,11326862,2306980,538404,1783934,2611127,911583,1162643,2012190,817446,630657,111650,75139
1996:Q4,Next40,10656245,12836046,4273891,1106026,877460,2743776,1040984,666481,2127428,2179800,1639146,460282,80372
1996:Q4,Bottom50,1022005,2885227,1390242,622942,88095,174259,169722,72869,367097,1863221,1100601,685878,76742
1997:Q1,TopPt1,3482188,3532332,248246,179940,1045311,20535,35160,841237,1161903,50144,20249,2627,27268
1997:Q1,RemainingTop1,4842883,5045982,690151,183226,1533434,202081,267188,1071840,1098063,203099,151185,12467,39447
1997:Q1,Next9,10638388,11476459,2349849,543715,1797242,2654858,907952,1207554,2015290,838072,646377,109627,82068
1997:Q1,Next40,10754492,12953175,4294651,1123393,901270,2761601,1058150,684404,2129706,2198684,1665807,448010,84867
1997:Q1,Bottom50,1034273,2888614,1380691,626770,90160,177645,169957,75291,368099,1854341,1097329,681445,75567
1997:Q2,TopPt1,3678800,3732641,252312,171116,1249760,21868,38608,855941,1143036,53841,21151,2838,29852
1997:Q2,RemainingTop1,5097537,5305415,702651,184530,1733785,211528,292084,1073769,1107069,207879,153703,12689,41487
1997:Q2,Next9,11132572,12000623,2374346,554046,2089739,2707242,995320,1244161,2035769,868051,663743,114363,89945
1997:Q2,Next40,11088456,13328378,4365427,1132987,1011325,2785582,1168399,700359,2164298,2239922,1695925,455523,88474
1997:Q2,Bottom50,1072541,2937679,1400432,624285,102173,181305,180833,77887,370763,1865138,1097872,692625,74641
1997:Q3,TopPt1,3807103,3863475,256513,163524,1369176,23243,41749,875314,1133956,56373,22259,3078,31036
1997:Q3,RemainingTop1,5274690,5486251,713115,186115,1842536,220637,313383,1078128,1132338,211561,156211,13005,42345
1997:Q3,Next9,11494204,12400868,2402508,566962,2263645,2756498,1061102,1285019,2065135,906664,689472,119595,97597
1997:Q3,Next40,11350215,13639949,4415134,1148210,1084765,2807053,1260145,717406,2207235,2289733,1739510,464602,85621
1997:Q3,Bottom50,1102993,2990868,1426049,625183,109962,184885,189501,80403,374885,1887875,1110017,705526,72332
1997:Q4,TopPt1,3890626,3951832,262758,175105,1405483,24712,43126,911647,1129002,61206,23317,3594,34295
1997:Q4,RemainingTop1,5366988,5581383,740749,184483,1864786,228619,319416,1090690,1152640,214395,156580,13372,44443
1997:Q4,Next9,11727936,12668588,2487321,563388,2323816,2795980,1042782,1340920,2114381,940652,709674,126931,104047
1997:Q4,Next40,11469126,13805287,4437256,1164965,1123585,2821121,1272047,738245,2248068,2336161,1765497,479517,91147
1997:Q4,Bottom50,1092858,2983861,1402206,630020,113735,188187,189063,82633,378017,1891003,1099641,720751,70611
1998:Q1,TopPt1,4129462,4193991,268358,170285,1642004,25952,46939,915701,1124752,64529,24437,3253,36839
1998:Q1,RemainingTop1,5669055,5885214,758698,185522,2094097,240036,345715,1088794,1172352,216159,157255,12729,46175
1998:Q1,Next9,12321843,13291408,2536849,573280,2657472,2863748,1133596,1368974,2157489,969565,733325,124959,111281
1998:Q1,Next40,11866248,14226408,4514876,1179856,1245805,2855966,1390388,752288,2287228,2360160,1798411,467759,93990
1998:Q1,Bottom50,1156195,3036955,1420889,631118,127177,192348,200485,85427,379512,1880760,1096527,715343,68890
1998:Q2,TopPt1,4207409,4275407,275591,169085,1675373,28498,47955,937068,1141837,67997,25408,3693,38896
1998:Q2,RemainingTop1,5791638,6013013,785445,186135,2114879,263950,353594,1095420,1213589,221375,160350,13343,47682
1998:Q2,Next9,12589518,13596004,2613964,581325,2715370,2934302,1138206,1412604,2200233,1006486,755548,132556,118382
1998:Q2,Next40,12080559,14498003,4630358,1197057,1284469,2868364,1413809,770290,2333657,2417445,1838979,483882,94584
1998:Q2,Bottom50,1152592,3061954,1432686,634106,130911,195134,200550,87931,380635,1909362,1108339,734271,66752
1998:Q3,TopPt1,3981325,4053003,285009,145683,1438913,31124,46645,944596,1161033,71677,26424,4007,41246
1998:Q3,RemainingTop1,5585243,5810061,790708,190730,1860460,286008,342401,1096187,1243567,224818,162822,13734,48262
1998:Q3,Next9,12356600,13395893,2624341,610223,2406685,2990889,1034564,1444826,2284366,1039294,779126,138549,121619
1998:Q3,Next40,12067900,14537281,4745824,1215691,1209337,2871168,1334808,785558,2374895,2469381,1879252,495389,94740
1998:Q3,Bottom50,1210528,3138673,1523375,634402,121527,197524,189129,90677,382038,1928145,1117709,749039,61397
1998:Q4,TopPt1,4283431,4352246,298215,159545,1720229,31253,49525,942789,1150690,68815,25873,3928,39014
1998:Q4,RemainingTop1,6037168,6272283,833893,204050,2179949,302310,370144,1115684,1266252,235115,170235,14435,50445
1998:Q4,Next9,13175874,14231907,2757119,597116,2883484,3034106,1197679,1444444,2317960,1056034,792270,138610,125154
1998:Q4,Next40,12481390,15023777,4790509,1227873,1380065,2936105,1485963,795002,2408260,2542387,1927979,515378,99030
1998:Q4,Bottom50,1208096,3178824,1513073,645179,135741,197458,207643,88264,391466,1970727,1141626,768922,60179
1999:Q1,TopPt1,4217245,4281922,307640,150068,1674013,31478,49370,914365,1154988,64677,25166,3274,36237
1999:Q1,RemainingTop1,6093490,6338928,852833,221026,2163715,317048,375400,1122702,1286204,245439,177979,14441,53019
1999:Q1,Next9,13297823,14360327,2804913,602794,2910681,3063141,1240806,1421451,2316541,1062504,801222,132336,128946
1999:Q1,Next40,12635215,15224636,4854272,1236947,1410539,2990735,1517095,798577,2416472,2589421,1971296,517608,100517
1999:Q1,Bottom50,1248172,3243107,1569680,650435,134055,196958,212456,86319,393204,1994934,1161545,774739,58650
1999:Q2,TopPt1,4346383,4407911,317407,154965,1799597,31642,49808,936102,1118390,61528,24477,2977,34074
1999:Q2,RemainingTop1,6340106,6598586,888459,235996,2326175,332489,386514,1153598,1275355,258480,186274,14981,57225
1999:Q2,Next9,13745187,14828107,2907914,599879,3175635,3097409,1315593,1443027,2288650,1082920,813059,130254,139607
1999:Q2,Next40,12915805,15577927,4971876,1252366,1516140,3049584,1577940,813502,2396519,2662122,2021466,532355,108301
1999:Q2,Bottom50,1231118,3274198,1577827,661638,140932,196619,220552,83710,392919,2043080,1188482,791014,63584
1999:Q3,TopPt1,4256001,4313781,330796,144446,1653673,31913,47866,989026,1116061,57780,24052,2868,30860
1999:Q3,RemainingTop1,6306247,6574136,913906,253624,2206222,346317,376816,1200076,1277176,267889,193329,15682,58878
1999:Q3,Next9,13729946,14835978,2970040,611986,3058214,3116881,1276358,1493285,2309213,1106032,834047,129915,142070
1999:Q3,Next40,13003216,15745272,5099947,1269368,1499149,3097710,1530934,836155,2412009,2742056,2081319,552645,108092
1999:Q3,Bottom50,1243644,3334635,1638482,671278,134411,195822,216343,80845,397455,2090991,1219046,810786,61159
1999:Q4,TopPt1,4655228,4710874,346226,148792,2024321,31902,49267,996293,1114074,55647,23815,2938,28894
1999:Q4,RemainingTop1,6843037,7120909,949603,268421,2628963,364034,401091,1224789,1284008,277872,196961,16236,64675
1999:Q4,Next9,14701910,15847494,3064259,608625,3673450,3169318,1431014,1503789,2397039,1145584,856450,130144,158990
1999:Q4,Next40,13501767,16326176,5171402,1283605,1718652,3170719,1659337,848433,2474028,2824408,2129617,575425,119366
1999:Q4,Bottom50,1298061,3426776,1664516,681650,153757,196049,231653,78669,420483,2128716,1228198,828879,71639
2000:Q1,TopPt1,4712786,4765782,356229,145718,2117212,32032,49618,970429,1094544,52996,23571,2452,26973
2000:Q1,RemainingTop1,7060899,7346230,990713,284956,2762550,379779,411101,1233113,1284018,285331,199540,15965,69826
2000:Q1,Next9,15103806,16278583,3172646,617133,3897210,3203817,1498378,1484850,2404549,1174777,876728,123795,174254
2000:Q1,Next40,13906671,16787163,5381505,1305115,1812570,3230670,1712555,852686,2492062,2880492,2170242,579916,130334
2000:Q1,Bottom50,1342436,3482109,1689506,694996,159380,195722,238748,76919,426838,2139673,1227187,831637,80849
2000:Q2,TopPt1,4585270,4634496,375955,145677,1944351,32256,47873,1020961,1067422,49226,23209,2477,23540
2000:Q2,RemainingTop1,7030249,7322319,1042530,300903,2616020,394273,405911,1279886,1282795,292069,205594,16766,69709
2000:Q2,Next9,15094500,16287583,3308161,622821,3738568,3226491,1484630,1535604,2371308,1193083,899566,124294,169223
2000:Q2,Next40,14068564,17028458,5585107,1326562,1783155,3282151,1688574,876032,2486877,2959894,2228983,604953,125958
2000:Q2,Bottom50,1346974,3524193,1727826,708744,151839,195027,236857,74447,429453,2177219,1252282,853282,71655
2000:Q3,TopPt1,4587624,4633719,388044,132008,1882863,32427,47224,1077007,1074147,46095,22886,2770,20439
2000:Q3,RemainingTop1,7119859,7420535,1077926,318735,2585346,409627,407974,1330266,1290661,300676,211330,17880,71466
2000:Q3,Next9,15286869,16510512,3385333,637304,3735379,3255812,1512396,1592461,2391828,1223643,923542,127417,172684
2000:Q3,Next40,14331248,17385197,5795989,1342833,1802521,3338914,1701697,901429,2501814,3053950,2288241,638543,127166
2000:Q3,Bottom50,1373690,3600711,1794052,717295,149764,194542,239070,72060,433928,2227021,1276335,880462,70224
2000:Q4,TopPt1,4382900,4425478,401474,140586,1547931,32715,44368,1093340,1165065,42578,22197,3130,17251
2000:Q4,RemainingTop1,6934623,7243503,1133121,333065,2251944,423534,393233,1360677,1347930,308880,219047,19248,70585
2000:Q4,Next9,15096828,16327485,3527288,633953,3312550,3271430,1448702,1613470,2520093,1230657,937558,131691,161408
2000:Q4,Next40,14399066,17534683,5984285,1362702,1675746,3385856,1630485,916958,2578651,3135617,2339394,675872,120351
2000:Q4,Bottom50,1325934,3591353,1787928,731451,133120,193626,231443,70128,443658,2265419,1299100,911326,54993
2001:Q1,TopPt1,4189188,4226028,425210,142089,1289923,32903,39999,1095583,1200321,36840,21475,2505,12860
2001:Q1,RemainingTop1,6822416,7136254,1212628,348362,1989986,439069,367458,1383808,1394943,313838,226511,19354,67973
2001:Q1,Next9,14975342,16200878,3731811,634642,2980986,3300458,1347074,1621647,2584260,1225536,949915,125383,150238
2001:Q1,Next40,14669253,17849538,6354622,1379164,1570568,3443115,1508728,928874,2664467,3180285,2386790,682618,110877
2001:Q1,Bottom50,1336843,3614359,1813464,742492,119634,193134,216830,68372,460433,2277515,1317183,919864,40468
2001:Q2,TopPt1,4324182,4356709,437825,136139,1403359,29874,40535,1122834,1186143,32527,20724,2055,9748
2001:Q2,RemainingTop1,7059275,7386803,1257564,364602,2148883,424927,378105,1420266,1392456,327528,237901,20180,69447
2001:Q2,Next9,15470939,16716938,3828084,638436,3234689,3367757,1406996,1653368,2587608,1245999,970222,122750,153027
2001:Q2,Next40,15057965,18332038,6546775,1390333,1678423,3520294,1562899,947641,2685673,3274073,2462686,699052,112335
2001:Q2,Bottom50,1335259,3685087,1855116,749285,126881,194219,224178,66483,468925,2349828,1371178,940212,38438
2001:Q3,TopPt1,4069358,4101152,449317,124352,1067157,26954,35974,1137002,1260395,31794,20900,1848,9046
2001:Q3,RemainingTop1,6748740,7088911,1297230,381894,1779823,408990,350534,1449833,1420606,340172,241537,20577,78058
