Date,TopPt1,RemainingTop1,Next9,Next40,Bottom50
2020:Q4,16088911,21906920,47435478,35985687,2722746
2021:Q1,17001028,22710722,48857377,37471138,2966563
2021:Q2,18189118,23784563,50925663,39248743,3136395
2021:Q3,18704651,24071186,51741827,40498534,3282918
2021:Q4,19405743,24561551,52799445,41643631,3423879
2022:Q1,19405833,24350937,52963458,43365091,3659092
2022:Q2,18012221,22565989,50431474,43238262,3725449
2022:Q3,17653206,21880303,49005881,42346303,3578000
2022:Q4,18026679,22284350,49443751,42125539,3452139
2023:Q1,18635618,22996419,50682309,42629840,3554191
2023:Q2,19364206,23875633,52458362,44290667,3657772
2023:Q3,18987806,23494070,51952034,44161860,3606462
2023:Q4,19794978,24437522,53492306,44811120,3628532
2024:Q1,20607928,25480581,55425401,46417151,3783089
2024:Q2,20866484,25838143,56307717,47549958,3824129
